Location,Wind Velocity(mph),DC Output
Manitoba,2.45,0.423
Manitoba,2.7,0.5
Manitoba,2.9,0.653
Manitoba,3.05,0.558
Manitoba,3.4,1.057
Newfoundland,3.6,1.137
Newfoundland,3.95,1.144
Newfoundland,4.1,1.194
Newfoundland,4.6,1.562
Alberta,5,1.582
Newfoundland,5.45,1.501
Ontario,5.8,1.737
Alberta,6,1.822
Newfoundland,6.2,1.866
Newfoundland,6.35,1.93
Newfoundland,7,1.8
Newfoundland,7.4,2.088
Sascatchewan,7.85,2.179
Ontario,8.15,2.166
Ontario,8.8,2.112
Newfoundland,9.1,2.303
Sascatchewan,9.55,2.294
Sascatchewan,9.7,2.386
Sascatchewan,10,2.236
Sascatchewan,10.2,2.31
